strategy,exit_reason,count,rate,total_trades,avg_net_pnl,total_net_pnl,avg_holding_bars,median_holding_bars,avg_return_bps
baseline,FALLBACK_NEAR_ENTRY_STOP,580,0.914826,634,-0.084443,-48.977073,4.3,1.0,-18.24
baseline,STRATEGY_SIGNAL_EXIT,54,0.085174,634,0.435121,23.496514,50.7,31.0,241.85
baseline,TAKE_PROFIT,0,0.000000,634,0.000000,0.000000,0.0,0,0.00
baseline,TRAILING_STOP,0,0.000000,634,0.000000,0.000000,0.0,0,0.00
baseline,UNKNOWN,0,0.000000,634,0.000000,0.000000,0.0,0,0.00
donchian,FALLBACK_NEAR_ENTRY_STOP,951,0.875691,1086,-0.094716,-90.074446,2.7,1,-23.39
donchian,STRATEGY_SIGNAL_EXIT,135,0.124309,1086,0.331868,44.802176,38.3,31,190.16
donchian,TAKE_PROFIT,0,0.000000,1086,0.000000,0.000000,0.0,0,0.00
donchian,TRAILING_STOP,0,0.000000,1086,0.000000,0.000000,0.0,0,0.00
donchian,UNKNOWN,0,0.000000,1086,0.000000,0.000000,0.0,0,0.00
bollinger,FALLBACK_NEAR_ENTRY_STOP,339,0.736957,460,-0.088535,-30.013311,1.7,1,-20.29
bollinger,STRATEGY_SIGNAL_EXIT,121,0.263043,460,0.079203,9.583573,3.7,3,63.68
bollinger,TAKE_PROFIT,0,0.000000,460,0.000000,0.000000,0.0,0,0.00
bollinger,TRAILING_STOP,0,0.000000,460,0.000000,0.000000,0.0,0,0.00
bollinger,UNKNOWN,0,0.000000,460,0.000000,0.000000,0.0,0,0.00
