strategy,entry_ts,exit_ts,entry_reference_price,entry_execution_price,initial_stop,initial_target,atr_at_entry,exit_price,exit_reason,holding_bars,touch_target_bar_events,initial_stop_touch_bar_events,same_bar_ambiguous_bar_events,TARGET_TOUCHED_ANY,INITIAL_STOP_TOUCHED_ANY,TARGET_AND_INITIAL_STOP_SAME_BAR_ANY,classification
baseline,1694244600000,1694247300000,1634.82,1635.146964,1633.204165429957,1638.051669140086,0.8079172850216436,1634,llm_sell,3,0,0,0,False,False,False,STRATEGY_EXIT
baseline,1694251800000,1694254500000,1635.97,1636.297194,1634.405978150499,1639.098043699001,0.7820109247504031,1634.21,stop_loss,3,0,2,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1694276100000,1694283300000,1635.8,1636.12716,1633.606526826921,1640.186946346157,1.096736586539314,1633.26,stop_loss,8,0,1,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1694293200000,1694304900000,1635.79,1636.117158,1634.1596205444,1639.050758911199,0.8151897277997072,1632.01,stop_loss,13,0,1,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1694490300000,1694513700000,1584.87,1585.186974,1572.353458555051,1609.903082889897,6.258270722474243,1613.14,take_profit,26,1,0,0,True,False,False,TAKE_PROFIT_EXIT
baseline,1694599200000,1694652300000,1599.24,1599.559848,1590.618299711013,1616.483400577973,4.31085014449331,1635.89,take_profit,59,4,0,0,True,False,False,TAKE_PROFIT_EXIT
baseline,1694743200000,1694763900000,1633.42,1633.746684,1627.084286382417,1646.091427235166,3.167856808791332,1627.78,stop_loss,23,0,1,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1694813400000,1694817000000,1628.67,1628.995734,1621.742513030757,1642.524973938486,3.463743484621578,1647.12,take_profit,4,1,0,0,True,False,False,TAKE_PROFIT_EXIT
baseline,1694886300000,1694890800000,1637.51,1637.837502,1633.90408091105,1644.7218381779,1.802959544474925,1633.73,stop_loss,5,0,1,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1694945700000,1694951100000,1633.41,1633.736682,1630.549609879518,1639.130780240964,1.430195060240863,1629.75,stop_loss,6,0,1,0,False,True,False,INITIAL_OR_BELOW_ENTRY_STOP_EXIT
baseline,1695008700000,1695033900000,1630.33,1630.656066,1621.808122507384,1647.373754985232,4.260938746307951,1648.4,take_profit,28,2,0,0,True,False,False,TAKE_PROFIT_EXIT
